"contentType","isImage","data__活動中心名稱","data__CountyCode","data__AreaCode","data__Village","data__StreetDoorPlate","data__經度","data__緯度","errorCode","id","message","success"
"null","False","新東里活動中心","67000","67000010","新東里","10鄰東仁街10巷39號","23.3178632","120.3281756","0","454cc765-b398-4124-b0c4-feecba88489e","null","True"
"","","南紙里活動中心","67000","67000010","南紙里","10鄰南紙街80號","23.2993867","120.2943125","","","",""
"","","豐和里活動中心","67000","67000130","豐和里","10鄰美豐82-5號","23.2224424","120.1993381","","","",""
"","","詔豐里中山堂","67000","67000030","詔豐里","10鄰海豐厝86號","23.3799781","120.415544","","","",""
"","","太康里活動中心","67000","67000040","太康里","113號","23.2876668","120.3349024","","","",""
"","","層林活動中心","67000","67000230","層林里","115號","23.0878341","120.4300017","","","",""
"","","斗六活動中心","67000","67000230","中正里","119-2號","23.1448237","120.464566","","","",""
"","","明和里活動中心","67000","67000220","明和里","11鄰98號","23.1147826","120.3406679","","","",""
"","","港東里活動中心","67000","67000140","港東里","11鄰烏竹林58-5號","23.1242224","120.2195374","","","",""
"","","烏山頭里嘉南活動中心","67000","67000100","烏山頭里","11鄰嘉南22號-16","23.205409","120.366424","","","",""
"","","埤頭下湖聯合里活動中心","67000","67000290","埤頭里\n下潮里","11鄰關新路二段142號","22.997368","120.3070818","","","",""
"","","後壁侯伯社區聯合活動中心","67000","67000050","後壁里","12鄰後壁193號","23.3659836","120.3619362","","","",""
"","","海西里活動中心","67000","67000350","海西里","12鄰海環街186號","23.0377625","120.1843081","","","",""
"","","埤頭里活動中心","67000","67000070","埤頭里","12鄰埤頭110-1號","23.196221","120.22745","","","",""
"","","茅埔活動中心","67000","67000250","玉山里","132-3號","23.0913916","120.5394232","","","",""
"","","坔頭港活動中心","67000","67000020","坔頭港里","143-2號","23.2580563","120.2471805","","","",""
"","","大社社區活動中心","67000","67000200","大社里","159號","23.0903938","120.3291365","","","",""
"","","中興興農里活動中心","67000","67000070","中興里","15鄰自由路8號之6","23.180424","120.244511","","","",""
"","","北馬社區活動中心","67000","67000170","錦湖里","15鄰渡子頭154之1號","23.2941931","120.1647036","","","",""
"","","新嘉里活動中心","67000","67000050","新嘉里","16鄰172號","23.3689041","120.3060706","","","",""
"","","大埕里活動中心","67000","67000070","大埕里","16鄰大同街26-2號","23.1865721","120.2460075","","","",""
"","","郡王里活動中心","67000","67000370","郡王里","16鄰建業街20號","22.986515","120.2072739","","","",""
"","","安東里活動中心","67000","67000350","安東里","17鄰安和路一段478巷2弄120號","23.0283531","120.2145221","","","",""
"","","隆本里活動中心","67000","67000100","隆本里","18鄰興隆街33號","23.1981102","120.3158321","","","",""
"","","大廟里活動中心","67000","67000280","大廟里","19鄰大廟一街38巷20號","22.9957259","120.2761715","","","",""
"","","六里聯合活動中心","67000","67000120","六安里","19鄰佳東路327巷20號","23.1624709","120.1813004","","","",""
"","","三埔里多功能活動中心","67000","67000230","三埔里","1鄰三埔15-1號","23.095386","120.4830548","","","",""
"","","大客里活動中心","67000","67000060","大客里","1鄰大庄5-1號","23.310312","120.410072","","","",""
"","","大埕番仔塭活動中心","67000","67000150","大埕里","1鄰大埕126之1號","23.1453614","120.144496","","","",""
"","","大竹里活動中心","67000","67000030","大竹里","1鄰大排竹3號","23.3681829","120.4124366","","","",""
"","","慈福里活動中心","67000","67000130","慈福里","1鄰民生路1號","23.2306384","120.1835304","","","",""
"","","永吉里多功能活動中心","67000","67000150","永吉里","1鄰永吉16之8號","23.1006418","120.1271727","","","",""
"","","營頭活動中心","67000","67000200","大營里","213號","23.0994096","120.3118375","","","",""
"","","渡拔里拔林活動中心","67000","67000100","渡拔里","21鄰拔子林43號之7","23.1730054","120.3208349","","","",""
"","","安富里活動中心","67000","67000350","安富里","21鄰郡安路1段164巷12弄1號","23.028363","120.202405","","","",""
"","","仁德里活動中心","67000","67000270","仁德里","23鄰文心路138號","22.9721193","120.240889","","","",""
"","","潭頂社區活動中心","67000","67000200","潭頂里","261-1號","23.0742985","120.3291365","","","",""
"","","二寮里中山堂","67000","67000260","二寮里","27號","22.9863293","120.4155972","","","",""
"","","虎山里社區活動中心","67000","67000030","虎山里","2鄰木屐寮28-5號","23.3530109","120.4559258","","","",""
"","","竹橋里多功能活動中心","67000","67000150","竹橋里","2鄰竹橋33之1號","23.1013771","120.1597343","","","",""
"","","崁頭里中山堂","67000","67000030","崁頭里","2鄰崁子頭19號","23.3315441","120.4331467","","","",""
"","","秀祐里中山堂","67000","67000030","秀祐里","2鄰頂秀祐30-1號","23.3532371","120.4036641","","","",""
"","","大林里中山堂","67000","67000030","大林里","2鄰檨子林20之12號","23.3369326","120.4559258","","","",""
"","","岡林里活動中心","67000","67000260","岡林里","31號","23.0259348","120.4184782","","","",""
"","","沙田活動中心","67000","67000230","沙田里","33之3號","23.1139727","120.4962417","","","",""
"","","南勢里活動中心","67000","67000070","南勢里","36-204號","23.1863593","120.2691031","","","",""
"","","礁坑里活動中心","67000","67000180","礁坑里","36崙153號","23.043014","120.366398","","","",""
"","","內庄社區活動中心","67000","67000260","內庄里","37號","23.0451274","120.4227997","","","",""
"","","中坑里中山堂","67000","67000250","中坑里","38-3號","23.0540775","120.4501653","","","",""
"","","中坑里活動中心","67000","67000250","中坑里","38-6號","23.0540775","120.4501653","","","",""
"","","北勢里活動中心","67000","67000180","北勢里","39號","23.0506082","120.2887685","","","",""
"","","左鎮社區活動中心","67000","67000260","左鎮里","39號","23.047747","120.4040725","","","",""
"","","北寮里活動中心","67000","67000250","北寮里","3號","23.077801","120.491534","","","",""
"","","新莊里活動中心","67000","67000220","新莊里","3鄰30-3號","23.08967","120.3579632","","","",""
"","","崎內里活動中心","67000","67000030","崎內里","3鄰內崎內19-1號","23.370775","120.455845","","","",""
"","","烏樹里活動中心","67000","67000050","長安里","3鄰烏樹林28之5號","23.3380754","120.3752561","","","",""
"","","馬稠後里中山堂","67000","67000030","馬稠後里","3鄰草店29-1號","23.3932656","120.439479","","","",""
"","","玉峯里民活動中心","67000","67000220","玉峯里","3鄰蚵殼潭35號","23.101001","120.389152","","","",""
"","","總榮里活動中心","67000","67000070","清水里","3鄰總爺庄32號之1","23.1766577","120.270022","","","",""
"","","八翁里活動中心","67000","67000040","八翁里","4鄰62-4號","23.2694095","120.2945362","","","",""
"","","昇安里活動中心","67000","67000030","昇安里","4鄰三間厝51-6號","23.364497","120.434218","","","",""
"","","四草里活動中心","67000","67000350","四草里","4鄰大眾路656號","23.0168176","120.1283095","","","",""
"","","馬稠後里活動中心","67000","67000030","馬稠後里","4鄰甘宅43-15號","23.3811623","120.4389474","","","",""
"","","佳化里活動中心","67000","67000120","佳化里","4鄰佳里興36之2號","23.1881469","120.1964522","","","",""
"","","南廍里活動中心","67000","67000100","南廍里","4鄰南廍65-2號","23.2112355","120.3031871","","","",""
"","","豐德里中山堂","67000","67000220","豐德里","4鄰隙仔口49-2號","查無經緯度","查無經緯度","","","",""
"","","檨林里活動中心","67000","67000140","檨林里","4鄰檨子林31號","23.134174","120.232117","","","",""
"","","光和里活動中心","67000","67000260","光和里","51之10號","23.0645624","120.3752561","","","",""
"","","北平里活動中心","67000","67000250","北平里","53-5號","23.0722287","120.4530456","","","",""
"","","西埔里活動中心","67000","67000250","西埔里","58-1號","23.0352152","120.4554266","","","",""
"","","上茄苳里活動中心","67000","67000050","上茄苳里","5鄰上茄苳46-28號","23.3882052","120.3853425","","","",""
"","","月港里活動中心","67000","67000020","月港里","5鄰中山路3巷15-1號","23.3187577","120.2670423","","","",""
"","","姑爺角帶活動中心","67000","67000010","姑爺里","5鄰角帶圍65-1號","23.2808886","120.2656955","","","",""
"","","中營地區民眾活動中心","67000","67000080","茅營里","5鄰茅港尾81之1號","23.2167119","120.28289","","","",""
"","","埤寮里活動中心","67000","67000010","埤寮里","5鄰埤寮12-1號","23.3296986","120.3175389","","","",""
"","","槺榔里多功能活動中心","67000","67000150","槺榔里","5鄰槺榔42之1號","23.0957821","120.1423849","","","",""
"","","小崙里中山堂","67000","67000250","小崙里","60-1號","23.0517371","120.4991209","","","",""
"","","榮和里活動中心","67000","67000260","榮和里","60之7號","23.0716338","120.3925467","","","",""
"","","果毅里活動中心","67000","67000040","果毅里","61-1號","23.2522719","120.3752561","","","",""
"","","玉山里多功能活動中心","67000","67000250","玉山里","65號","23.0913916","120.5394232","","","",""
"","","鯤鯓里活動中心","67000","67000330","鯤鯓里","66巷7號","22.9595141","120.1714606","","","",""
"","","三舍社區活動中心","67000","67000200","三舍里","67號","23.0976924","120.2945362","","","",""
"","","小腳腿多功能活動中心","67000","67000040","篤農里","6鄰小腳腿226號-1","23.2867094","120.3709331","","","",""
"","","內角里活動中心","67000","67000030","內角里","6鄰內角84之18號","23.400607","120.437861","","","",""
"","","果毅後多功能活動中心","67000","67000040","神農里","6鄰果毅後284-5號","23.2613107","120.3579632","","","",""
"","","城內里活動中心","67000","67000150","後港里","6鄰城內16之3號","23.1746469","120.1329474","","","",""
"","","澄山里活動中心","67000","67000260","澄山里","77-2號","23.0200795","120.3954282","","","",""
"","","土溝里活動中心","67000","67000050","土溝里","7鄰土溝56-18號","23.3756686","120.3905324","","","",""
"","","永樂里活動中心","67000","67000140","永樂里","7鄰大塭寮59-35號","23.0940808","120.1776926","","","",""
"","","望明里活動中心","67000","67000230","望明里","7鄰望明76號","23.1061031","120.455903","","","",""
"","","詔安里中山堂","67000","67000030","詔豐里","7鄰詔安厝77號","23.392933","120.411852","","","",""
"","","關山里活動中心","67000","67000250","關山里","84-3號","23.1672655","120.5854674","","","",""
"","","山上里農民教育活動中心","67000","67000220","山上里","8鄰134-1號","23.101435","120.3594043","","","",""
"","","南洲里農民教育活動中心","67000","67000220","南洲里","8鄰197號","23.0958254","120.3478746","","","",""
"","","八翁里集會所","67000","67000040","八翁里","8鄰70-1號","23.2694095","120.2945362","","","",""
"","","永就社區活動中心","67000","67000200","永就里","94之3號","23.0642791","120.3003035","","","",""
"","","廣山里活動中心","67000","67000160","廣山里","97-6號","23.2200538","120.1213978","","","",""
"","","新莊里大庄活動中心","67000","67000220","新莊里","9鄰大庄32號","查無經緯度","查無經緯度","","","",""
"","","南都里活動中心","67000","67000330","南都里","9鄰中華南路二段247-2號","22.961445","120.187074","","","",""
"","","汴頭里中山堂","67000","67000030","汴頭里","9鄰內枋林22號","23.3678557","120.461686","","","",""
"","","竹門里活動中心","67000","67000030","竹門里","9鄰竹子門113-5號","23.3769445","120.4449593","","","",""
"","","東角里活動中心","67000","67000070","東角里","9鄰忠孝路44-1號","23.1839989","120.256533","","","",""
"","","新復里活動中心","67000","67000140","新復里","9鄰溪埔寮19-9號","23.08697","120.184727","","","",""
"","","義合里多功能活動中心","67000","67000150","義合里","9鄰義合72之2號","23.1035949","120.1387218","","","",""
"","","七甲龍湖聯合多功能活動中心","67000","67000090","七甲里","七甲街89巷2號","23.2206073","120.3452638","","","",""
"","","二重港活動中心","67000","67000170","文山里","二重港27號","23.2439344","120.1355158","","","",""
"","","三甲社區活動中心","67000","67000270","文賢里","三甲子11-17號","22.9326731","120.2368486","","","",""
"","","蔦松腳活動中心","67000","67000270","上崙里","上崙街459巷82號","22.9385802","120.2599266","","","",""
"","","歡雅里活動中心-下寮","67000","67000020","歡雅里","下寮13-1號","23.2771778","120.2417964","","","",""
"","","水秀里活動中心","67000","67000020","水秀里","土庫35-1號","23.3227041","120.2773919","","","",""
"","","土庫里活動中心","67000","67000270","土庫里","土庫三街39巷23弄11號","22.9888317","120.2604566","","","",""
"","","太子土庫聯合活動中心","67000","67000270","太子里","土庫路2號","22.9911719","120.2603824","","","",""
"","","大丘里活動中心","67000","67000090","大丘里","大丘園5號","23.2187098","120.4365315","","","",""
"","","明德里活動中心","67000","67000330","明德里","大成路1段61巷32號","22.975172","120.20254","","","",""
"","","大坑社區活動中心","67000","67000180","大坑里","大坑尾182號","23.012628","120.385707","","","",""
"","","八甲里活動中心","67000","67000280","八甲里","大明三街7號","22.9741935","120.2979582","","","",""
"","","五甲里活動中心","67000","67000290","五甲里","大富街86號","22.9519175","120.3279477","","","",""
"","","辜厝里活動中心","67000","67000280","辜厝里","大順三街42號","22.9641574","120.2920786","","","",""
"","","旭山里活動中心","67000","67000040","旭山里","山子腳9-1號","23.2806957","120.3550808","","","",""
"","","柳營聯合活動中心","67000","67000040","東昇里","中山西路二段19巷35號","23.2771668","120.3174397","","","",""
"","","許厝里活動中心","67000","67000280","許厝里","中山路一段437巷9號","22.965983","120.2993363","","","",""
"","","玉井、玉田活動中心","67000","67000230","玉井里","中正路7號","23.1218936","120.4593371","","","",""
"","","中社里活動中心","67000","67000090","中社里","中社351號","23.238943","120.325088","","","",""
"","","中洲里活動中心","67000","67000270","中洲里","中洲274號","22.9056447","120.2526809","","","",""
"","","安康里活動中心","67000","67000310","安康里","中華西街122巷62號","23.0514579","120.277578","","","",""
"","","中興里活動中心","67000","67000310","中興里","中興街40號","23.006591","120.240139","","","",""
"","","五興里活動中心","67000","67000010","五興里","五間厝114-1號","23.275487","120.272219","","","",""
"","","仁義里活動中心","67000","67000270","仁義里","仁義路130-2號","22.9683434","120.2558306","","","",""
"","","田寮里活動中心","67000","67000190","田寮里","六分寮168號之9","23.1541333","120.304806","","","",""
"","","六德里活動中心","67000","67000190","六德里","六分寮227-1號","23.151602","120.299703","","","",""
"","","南保里南興里活動中心","67000","67000280","南興里","文化街三段208號","22.9703663","120.2836055","","","",""
"","","牛庄社區活動中心","67000","67000190","牛庄里","牛庄138-2號","23.138238","120.319658","","","",""
"","","王行里活動中心","67000","67000310","王行里","王行路866巷29弄118號","23.0054047","120.2339679","","","",""
"","","溪心里活動中心","67000","67000350","溪心里","功安一街162號","23.0495978","120.1802038","","","",""
"","","北勢洲活動中心","67000","67000220","明和里","北勢洲51-1號","23.1147935","120.3345602","","","",""
"","","嘉昌里活動中心","67000","67000160","忠嘉里","北嘉98-5號","查無經緯度","查無經緯度","","","",""
"","","六甲里活動中心","67000","67000280","六甲里","民生十二街41號","22.9547108","120.278302","","","",""
"","","新化區聯合里活動中心","67000","67000180","太平里","民生路269號","23.0500798","120.3103958","","","",""
"","","東灣里活動中心","67000","67000310","東灣里","民族路291號","23.0054051","120.269078","","","",""
"","","埔園龍埔里活動中心","67000","67000310","埔園里","永大路三段618巷111號","23.038503","120.259865","","","",""
"","","西灣里活動中心","67000","67000310","西灣里","永華路201巷12號","23.0102718","120.2584932","","","",""
"","","三和里田寮活動中心","67000","67000020","三和里","田寮45號","23.277888","120.228523","","","",""
"","","平陽里活動中心","67000","67000220","平陽里","石仔崎48號","23.0860157","120.3752561","","","",""
"","","鳳凰里活動中心","67000","67000350","鳳凰里","安中路1段700巷1號","23.0440035","120.1941326","","","",""
"","","淵中里活動中心","67000","67000350","淵中里","安中路三段381號","23.0489683","120.1748415","","","",""
"","","塭南里活動中心","67000","67000350","塭南里","安昌街130號","23.0708473","120.2196093","","","",""
"","","全興里活動中心","67000","67000180","全興里","竹子腳73號","23.030906","120.292876","","","",""
"","","大甲二行聯合活動中心","67000","67000270","大甲里","行大街239號","22.915411","120.218454","","","",""
"","","胡厝里活動中心","67000","67000190","胡厝里","西衛32-2號","23.1342537","120.2596276","","","",""
"","","沙崙里活動中心","67000","67000280","沙崙里","沙崙269號","22.939129","120.311089","","","",""
"","","安順里活動中心","67000","67000350","安順里","育安街211號","23.0507823","120.2152286","","","",""
"","","姑爺里活動中心","67000","67000010","姑爺里","姑爺22-1號","23.26838","120.261354","","","",""
"","","育平里活動中心","67000","67000360","育平里","府平路376號","22.9871097","120.1670985","","","",""
"","","歸仁里活動中心","67000","67000280","歸仁里","忠孝北路221號","22.9709549","120.298694","","","",""
"","","一甲社區活動中心","67000","67000270","一甲里","忠義路256號","22.9765594","120.2548452","","","",""
"","","東勢里活動中心","67000","67000290","東勢里","旺萊路139巷12號","22.9538511","120.334588","","","",""
"","","東勢里民活動中心","67000","67000240","東勢里","東勢路160巷30號","23.178118","120.48639","","","",""
"","","昌隆里活動中心","67000","67000190","昌隆里","東勢寮186號之5後方","23.156245","120.3168641","","","",""
"","","廣蓮里中山堂","67000","67000030","廣蓮里","枋子林43之1號","23.389917","120.402766","","","",""
"","","竹圍里中山堂","67000","67000230","竹圍里","武成街155巷7號","23.1337231","120.478965","","","",""
"","","知義社區活動中心","67000","67000180","知義里","知母義171號","23.024023","120.314088","","","",""
"","","東和里活動中心","67000","67000350","東和里","長和路一段805號","23.0626716","120.2277858","","","",""
"","","西埔里活動中心","67000","67000280","西埔里","保大路二段166號","22.9971096","120.2876413","","","",""
"","","田厝社區活動中心","67000","67000270","文賢里","保安路二段481號","22.9220899","120.2381181","","","",""
"","","成功里活動中心","67000","67000270","成功里","保華路245號","22.9592923","120.2260941","","","",""
"","","六甲里活動中心","67000","67000090","六甲里","信義街238巷14弄17號","23.228996","120.3489279","","","",""
"","","菁豐里活動中心","67000","67000050","菁豐里","前菁寮74號","23.377619","120.344304","","","",""
"","","城東里活動中心","67000","67000350","城東里","城安路73號","23.0666432","120.1275845","","","",""
"","","城南里活動中心","67000","67000350","城南里","城西街一段61巷28弄98號","23.0603192","120.127133","","","",""
"","","二甲里活動中心","67000","67000090","二甲里","建工街266號","23.2279003","120.3460234","","","",""
"","","中埕里活動中心","67000","67000040","光福里","柳營360號","23.2761164","120.315316","","","",""
"","","人和里農民活動中心","67000","67000040","人和里","柳營路3段420巷1弄2號","23.2944986","120.3135467","","","",""
"","","豐榮里活動中心","67000","67000180","豐榮里","洋子164號","23.0338219","120.2982378","","","",""
