停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄
民營停車場,104004,凱旋臨時停車場,臺南市東區中華東路與凱旋路口(東光段1011地號),06-236-6222,-1,0,271,10,6,2,0,0,24小時,臨停:每小時50元。 其他月租或優惠依現場公告為主。,22.992103，120.233264,到期日:108.10.06
民營停車場,104018,西拉雅停車場,臺南市白河區溫泉段546地號土地(統茂會館旁),,-1,0,91,1,1,1,0,0,24小時,臨停:每小時30元。 其他月租或優惠依現場公告為主。,23.336388，120.504550,到期日:107.03.31
民營停車場,104019,西拉雅(一)停車場,臺南市白河區溫泉段577地號土地(統茂會館斜對面),,-1,0,23,1,1,1,0,0,24小時,臨停:每小時30元。 其他月租或優惠依現場公告為主。,23.336390，120.504326,到期日:107.03.31
民營停車場,105035,台南自由停車場,臺南市東區自由路一段79號旁(德高段106、106-1、107、126-2地號),0910-894713,-1,0,52,1,0,0,0,0,24小時,其他月租或優惠依現場公告為主。,22.967380，120.234425,到期日:110.08.25
民營停車場,105043,翰林停車場,臺南市東區東區自由路三段210號旁(虎尾寮段532-1、533-2、532-3、532-4、532-101、533-1、533-2、533-3、533-9地號),0970-000-619,-1,0,89,1,0,0,0,0,24小時,其他月租或優惠依現場公告為主。,22.979240，120.237868,到期日:110.08.30
民營停車場,105044,GoLine台南長榮停車場,臺南市北區北區長榮路四段221號旁(仁愛段560、620地號),0986-278989,-1,0,17,1,1,1,0,0,24小時,臨停:每小時40元。 其他月租或優惠依現場公告為主。,23.007225，120.220856,到期日:110.09.30
民營停車場,106012,文東停車場,臺南市東區文東路30巷24號(東區德高段481-3號),06-267-6703,-1,0,6,1,0,0,0,0,24小時,其他月租或優惠依現場公告為主。,22.960811，120.233533,到期日:111.03.02
民營停車場,106028,TimesUNIQLO臺南永康永大路店停車場,臺南市永康區永大路三段168號,02-2504-6098,-1,0,43,1,1,1,0,0,24小時,臨停:平日每半小時20元；假日:每半時30元。 其他月租或優惠依現場公告為主。,23.031159，120.260281,到期日:111.03.23
民營停車場,106030,大遠百停車場,臺南市東區前鋒路210號,06-209-8999,-1,0,530,13,13,2,0,0,24小時,臨停費率:每小時50元，第1小時內50元，逾1小時以每半小時25元計算。 單日在本公司或香格里拉遠東國際大飯店消費滿500元，給予免費1小時優待，最高給予4小時免費優惠(住宿者除外-給予全日優惠停車)。,22.996316，120.214833,到期日:111.05.23
民營停車場,106036,郭綜合醫院立體停車場,臺南市中西區民生路2段27號,06-222-1111#3125,-1,0,106,2,0,0,0,0,24小時,臨停費率:每小時50元，逾1小時以上，未滿半小時以半小時計,22.994758，120.19839,到期日:111.06.29
民營停車場,106037,日月亭健康路停車場,臺南市南區健康路二段386號旁(新興段233-21，233-22與233-23等3筆地號),06-312-1033,-1,0,20,1,1,1,0,0,24小時,臨停:每小時收費50元。 其他月租或優惠依現場公告為主。,22.982432，120.186874,到期日:111.07.31
民營停車場,106040,Times崇善十街停車場,臺南市東區崇善十街61號(東區竹篙段3685地號),02-2504-6098,-1,0,49,1,1,1,0,0,24小時,臨停:每半小時30元。 其他月租或優惠依現場公告為主。,22.971720，120.232003,到期日:111.03.20
民營停車場,106042,華興段008-0000私人停車場,臺南市北區南園街127巷106弄82號旁空地(北區華興段8地號土地),0986-007-123,-1,0,6,1,0,0,0,0,24小時,其他月租或優惠依現場公告為主。,23.008604，120.229746,到期日:111.08.02
民營停車場,106043,綠園停車場,臺南市中西區中山路39號(中西區三民段74地號土地),0973283987,-1,0,13,1,0,0,0,0,其他月租或優惠依現場公告為主。,24小時,22.993383，120.206207,到期日:111.08.27
民營停車場,106048,七股鹽山停車場,臺南市七股區鹽埕里66號,06-780-0511#49、30,-1,0,80,2,2,0,22,2,夏季(3月-10月)09:00~18:00 冬季(11月-2月)08:30~17:30,計次:小型車100元;機車、腳踏車50元,23.154948，120.098966,到期日:111.09.24
民營停車場,106053,柳營新天地停車場,臺南市柳營區太康村201-10號,06-622-6869,-1,0,341,8,7,1,303,7,24小時,機車:每次10元。汽車:1小時以內(含)每次35元，1小時以上未滿2小時每次40元，2小時以上未滿3小時每次45元， 3小時以上未滿3.5小時每次50元，3.5小時以上每半小時加收15元，逾半小時未滿1小時加收30元，每日最高150元。,23.289913，120.329166,到期日:111.08.23
民營停車場,106054,助安168台南北門停車場,臺南市中西區北門路一段101號地下室(中西區青年段503、508、509、510、512及859地號等6筆土地),02-2754-6661,-1,0,35,1,1,1,0,0,24小時,臨停:汽車每小時40元。 其他月租或優惠依現場公告為主。,22.992244，120.211521,到期日:110.12.31
民營停車場,106055,見橋停車場,臺南市永康區中華路870號旁空地(六甲頂段522地號),0913-551117,-1,0,0,0,0,0,91,2,24小時,臨停:每日20/次;月租:400/月,23.021339，120.221810,到期日:111.09.19
民營停車場,106059,寶立成停車場,臺南市東區中華東路2段22巷14弄西側,06-268-2097,-1,0,4,1,0,0,0,0,24小時,月租:1300元,22.987912，120.232912,到期日:111.06.28
民營停車場,106064,盛川停車場,臺南市永康區臺南市永康區中華路829號旁(大橋車站前),,-1,0,0,0,0,0,68,1,24小時,臨停:每次25元。,23.019417，120.224546,
民營停車場,106071,娛樂城停車場,臺南市中西區公園路60號,06-225-9101,-1,0,84,2,2,0,0,0,每日9時至翌日凌晨2時止,臨停費率:每小時50元，第1小時內50元，逾1小時以每半小時25元計算。 單日消費滿500元，至本公司1樓服務台辦理優惠，給予免費1小時優待，最高給予4小時費優惠。,22.995506，120.206413,到期日:111.10.07
民營停車場,106073,Times中華西和緯停車場,臺南市中西區臺南市中西區和緯路四段305號,,-1,0,13,1,1,1,0,0,24小時,臨停:每半小時30元。 其他月租或優惠依現場公告為主。,23.006439，120.186493,
民營停車場,106083,東門停車場,臺南市東區臺南市東區東門路一段187號旁,,-1,0,23,1,1,1,0,0,24小時,臨停:平日每小時15元，假日每半小時20元。 其他月租或優惠依現場公告為主。,22.987678，120.215782,
民營停車場,107002,石門國民小學停車場,臺南市安平區安平路700號,06-222-3332#315,-1,0,14,1,1,1,0,0,臨停:週六~日及國定假日上午10時至下午5時； 年租:24小時。,臨停:每小時30元。 其他月租或優惠依現場公告為主。,22.999626，120.166319,到期日:110.11.16
民營停車場,107003,烏山頭水庫風景區停車場,臺南市官田區嘉南里68-2號,06-698-2103,-1,20,302,7,7,7,5,1,上午6時至下午6時,臨停費率:大客車每台每次80元，小客車每台每次50元，機車每台每次20元。,23.207948，120.363147,到期日:111.10.25
民營停車場,107009,台灣聯通台南小北停車場,臺南市北區臺南市北區西門路4段111號(北區小北段1889、1889-2地號),,-1,0,83,2,2,2,191,3,24小時,臨停:汽車每小時50元，機車每小時20元。 其他月租或優惠依現場公告為主。 ,23.009112，120.206828,到期日：111.11.30
民營停車場,107010,康利福停車場,臺南市永康區臺南市永康區奇美醫院第五醫療大樓旁(永康區頂南段793~797、801地號),0972859097,-1,0,104,2,2,2,0,0,24小時,臨停:第1小時30元，第2小時起20元。 其他月租或優惠依現場公告為主。,23.019532，120.221671,到期日：111.11.30
民營停車場,107012,走馬瀨農場停車場,臺南市大內區二溪里唭子瓦60號,06-576-0121,-1,9,137,3,3,0,10,1,平日:上午9時至下午5時，假日:上午8時至下午5時,臨停費率:大型車每次100元，小型車每次50元，機車每次20元。,23.136501，120.429929,到期日：111.12.10 
民營停車場,107018,捷美停車場,臺南市安平區臺南市安平區金華段35-12地號,,-1,0,29,1,1,1,0,0,24小時,其他月租或優惠依現場公告為主。,22.99246，120.17142,
民營停車場,107030,台灣聯通台南大東停車場,臺南市東區臺南市東區長榮路1段223號旁空地,,-1,0,157,5,5,5,0,0,24小時,臨停:01：00~18：00每小時40元；18：00~01：00每小時60元。 其他月租或優惠依現場公告為主。,22.985222，120.218129,
民營停車場,107032,關子嶺風景特定區白河水庫停車場,臺南市白河區仙草里1-18號,06-685-2116,-1,0,29,2,1,0,9,1,上午8時至下午6時,臨停費率：小型車每台每次50元，機車每台每次20元。,23.333585，120.458797,到期日：111.11.08 
民營停車場,107033,成大醫院汽機車停車場,臺南市北區小東路35號,06-235-3535#6668、2188,-1,0,423,11,9,9,485,10,24小時,臨停費率: 機車:20/次 汽車:第1小時20元，未滿1小時以1小時計，超過1小時未滿1小時30分鐘者以1小時30分鐘計，收費30元，超過1小時30分鐘未滿2小時者以2小時計，收費40元， 第3小時起每半小時收費20元，其餘類推，每輛每日1次最高收費400元。,23.001557，120.218078,到期日:112.03.22
民營停車場,107040,東門三多停車場,臺南市東區臺南市東區東門路3段226巷內,0985153397,-1,0,177,4,4,4,0,0,24小時,臨停:每30分鐘15元。 其他月租或優惠依現場公告為主。 ,22.976081，120.235277,到期日：112.02.22
民營停車場,107041,台灣聯通台南安中停車場,臺南市安南區臺南市安南區怡安路2段535巷6弄4號對面空地,02-25235000,-1,0,46,1,1,1,0,0,24小時,臨停:每小時50元。 其他月租或優惠依現場公告為主。 ,23.043979，120.195405,到期日：112.02.22
民營停車場,107042,順民族停車場,臺南市中西區民族路2段81號,0925-765509,-1,0,27,1,1,0,0,0,上午9點30分至晚上10點30分,臨停費率:平日每小時50元，當日最高收費350元。例假日第1小時100元，第2小時起每小時50元，當日最高收費400元。 停車逾1小時後，未滿半小時者以半小時計費。,22.994521，120.209264,到期日：112.05.31
民營停車場,107045,新興停車場,臺南市南區臺南市南區聖南街83號旁,,-1,0,7,1,0,0,0,0,24小時,其他月租或優惠依現場公告為主。,22.979458，120.190458,月租式停車場 到期日:112.05.31
民營停車場,107050,嘉年華購物中心停車場,臺南市仁德區仁愛里1211號,06-337-8888,-1,0,710,15,16,1,391,10,上午8:30~晚間10:30,每次50元,22.946418，120.221417,到期日:111.11.10
民營停車場,107056,俥亭中華東路停車場,臺南市東區臺南市東區中華東路2段311號旁,06-2089516,-1,0,17,1,1,1,0,0,24小時,臨停:每30分鐘25元。 其他月租或優惠依現場公告為主。 ,22.981901，120.230742,到期日：112.05.31
民營停車場,107057,詮營股份有限公司台南（一）收費處,臺南市歸仁區武東段241地號(高鐵橋下-歸仁八路與歸仁十路間),06-303-2959,-1,0,186,3,5,4,0,0,24小時,臨停費率:每小時20元，第1小時前30分鐘免費。超過30分鐘者，以1小時計費； 第2小時起，未滿30分鐘以半小時計算，逾30分鐘以1小時計算。當日24:00計價截止，隔日另計。,22.928577，120.284453,到期日:112.02.28
民營停車場,107059,竑穗水交社停車場,臺南市南區臺南市南區興昌路南側空地,,-1,0,187,4,4,4,0,0,24小時,臨停:平日每小時30元，假日每小時40元。 其他月租或優惠依現場公告為主。,22.976226，120.199062,到期日：111.11.13
民營停車場,107060,曾文水庫風景區停車場,臺南市楠西區密枝里70號,06-575-3251#6221,-1,15,145,5,4,2,8,1,平常日及冬令期間(11月至翌年3月):上午8時至下午4時45分 例假日及夏令期間(4月至10月):上午8時至下午5時45分,臨停費率:大型車每次50元，小型車每次40元，機車每次20元。,23.210457，120.496897,到期日:112.07.12
民營停車場,107063,虎頭埤風景區附設停車場,臺南市新化區新化區中興路42巷36號(新化段王公廟小段1090-11地號),06-590-1325,-1,1,53,1,1,1,8,1,上午6時30分至下午10時,臨停費率:大型車每台每次70元，小型車每台每次40元，機車每台每次20元，腳踏車每台每次10元。,23.027103，120.335162,到期日:112.07.19
民營停車場,107064,新光三越百貨股份有限公司台南西門分公司停車場,臺南市中西區西門路1段658號,06-303-0999,-1,0,1515,33,31,1,0,0,每日11時至22時，影城至翌日凌晨3時,臨停費率:每小時50元，第1小時以內50元，逾1小時以上每半小時25元。凡當日購物消費滿500元優惠免費停車半小時，消費累計最高以4小時為限， 超出部分均依一般計費標準收費。,22.986936，120.199802,到期日:111.05.03
民營停車場,107066,福吉停車場,臺南市南區臺南市南區健康路2段198巷,06-228-9846,-1,0,19,1,0,0,0,0,24小時,其他月租或優惠依現場公告為主。,22.982099，120.192090,月租式停車場 到期日:112.07.26
民營停車場,107067,臺南萬年二街停車場,臺南市南區臺南市南區萬年二街與萬年五街交叉路口,06-2210036,-1,0,94,2,2,2,0,0,24小時,臨停:每30分鐘20元。 其他月租或優惠依現場公告為主。 ,22.932832，120.188612,到期日:112.05.07
民營停車場,107068,臺南萬年六街停車場,臺南市南區臺南市南區萬年六街與萬年一街交叉路口,06-2210036,-1,0,149,3,3,3,0,0,24小時,臨停:每30分鐘20元。 其他月租或優惠依現場公告為主。,22.932032，120.184744,到期日：112.05.03
民營停車場,107069,臺南萬年五街停車場,臺南市南區臺南市南區萬年五街與萬年七街102巷交叉路口,06-2210036,-1,107,136,3,3,3,0,0,24小時,臨停:大型車每30分鐘40元，小型車每30分鐘20元。 其他月租或優惠依現場公告為主。,22.931939，120.189090,到期日：112.05.03
民營停車場,107070,南科停車場,臺南市善化區臺南市善化區善新段299地號,0971029139,-1,0,48,1,0,0,18,1,24小時,其他月租或優惠依現場公告為主。,23.110159，120.302812,到期日：112.05.10
民營停車場,107073,新光三越百貨股份有限公司台南西門分公司二館停車場,臺南市中西區永福路1段189號地下4樓,06-303-0999,-1,0,212,5,4,1,0,0,臨停費率:每小時50元，第1小時以內50元，逾1小時以上每半小時25元。凡當日購物消費滿500元優惠免費停車半小時，消費累計最高以4小時為限，超出部分均依一般計費標準收費。,上午11時至晚上10時,22.987969，120.200007,到期日:112.08.15
民營停車場,107075,永康區農會停車場,臺南市永康區中正南路635號,06-232-1121,-1,0,12,1,0,0,7,1,上午8時至下午5時,臨停費率:小型車每小時50元，機車每小時10元。 停車時數未滿1小時者，以1小時計算收費。停車時數逾1小時以上，未滿30分鐘折半收費，超過30分鐘，以1小時計費。,23.025496，120.255012,到期日:112.09.16
民營停車場,107076,頑皮世界股份有限公司停車場,臺南市學甲區臺南市學甲區三慶里頂洲75-25號,06-7810326,-1,5,220,6,6,2,64,2,上午8時至下午5時,臨停:大型車免費;小型車每次50元;機車免費。 其他月租或優惠依現場公告為主。,23.283586，120.208742,到期日：112.08.28
民營停車場,107077,思源停車場,臺南市安南區臺南市安南區安和路四段101巷,06-3561247,-1,0,15,1,1,1,0,0,24小時,其他月租或優惠依現場公告為主。,23.053088，120.217740,到期日：112.08.28
民營停車場,107080,台糖長榮酒店（台南）第二停車場,臺南市東區臺南市東區中華東路三段401號(竹篙厝段4064地號),06-337-3880,-1,2,137,2,2,1,0,0,24小時,臨停:每小時30元，未滿1小時者以1小時計算，超過1小時部分每半小時15元 當日於酒店消費滿500元可免費停車1小時，最高累計4小時。,22.973090，120.220453,到期日:112.07.21
民營停車場,107081,助安168台南高鐵停車場,臺南市歸仁區臺南市歸仁區歸仁十路旁高鐵高架橋下（武東段69地號）,02-27546661,-1,0,114,2,2,2,0,0,24小時,臨停每小時30元。 其他月租或優惠依現場公告為主。,22.926631，120.285428,到期日：112.06.30
民營停車場,107082,日月亭五妃廟停車場,臺南市中西區臺南市中西區南門路237巷4號對面,06-2141307,-1,0,61,2,2,2,0,0,24小時,臨停:每30分鐘25元。 其他月租或優惠依現場公告為主。,22.983251，120.204714,到期日：112.08.30
民營停車場,107083,Times台南府連路停車場,臺南市中西區臺南市東區府連路(龍泉段565地號),02-2504-6098,-1,0,21,1,1,1,0,0,24小時,臨停:每30分鐘50元。 其他月租或優惠依現場公告為主。,22.986130，120.217316,到期日：112.08.24
民營停車場,107084,Times台南海安路一段停車場,臺南市中西區臺南市中西區海安路一段(保安段313地號),02-25046098,-1,0,14,1,1,1,0,0,24小時,臨停:每30分鐘50元。 其他月租或優惠依現場公告為主。,22.989340，120.195295,到期日：112.07.17
民營停車場,107085,Times台南永康中正路停車場,臺南市永康區臺南市永康區中正路148巷,02-25046098,-1,0,43,1,1,1,0,0,24小時,臨停:每30分鐘40元。 其他月租或優惠依現場公告為主。,23.031200，120.253589,到期日：112.07.16
民營停車場,107088,五都停車場高鐵台南站,臺南市歸仁區台南高鐵特定區歸仁八路與武當路交叉口,0929-910000,-1,0,414,10,10,1,16,1,24小時,小型車：每小時20元，每日最高120元。 機車：每次30元 ,22.927922，120.283697,到期日:111.12.31
民營停車場,107092,芝凡企業社停車場,臺南市新市區臺南市新市區富林路（新北段105、105-1地號）,0908-130338,-1,0,28,1,0,0,0,0,24小時,其他月租或優惠依現場公告為主。,23.080612，120.290995,到期日：112.10.04
民營停車場,107100,詮營股份有限公司台南(二)收費處停車場,臺南市永康區臺南市永康區中華路893巷(頂南段463、708地號),02-27935818,-1,0,18,1,1,1,21,1,24小時,臨停:汽車每小時30元。 其他月租或優惠依現場公告為主。  ,23.019082，120.223875,到期日：112.05.09
民營停車場,107104,助安168台南善化停車場,臺南市善化區臺南市善化區文賢街25號旁空地(善文段559、561地號),02-27546661,-1,0,26,1,1,1,0,0,24小時,臨停:每小時40元。 其他月租或優惠依現場公告為主。,23.130592，120.293599,到期日:112.09.30
民營停車場,107105,博客停車場開發股份有限公司燦坤鹽行場,臺南市永康區臺南市永康區中正北路45號旁(鹽新段1122、1123地號),02-29488889,-1,0,4,1,0,0,0,0,24小時,臨停:每小時40元。 其他月租或優惠依現場公告為主。,23.041635，120.239120,到期日：112.10.31
民營停車場,107106,臺南市永華國民運動中心停車場,臺南市中西區臺南市中西區中華西路二段30號(環河段2550地號),06-2986111,-1,0,81,2,2,1,115,3,24小時,臨停:汽車每小時20元，機車免費。 其他月租或優惠依現場公告為主。,22.989636，120.188200,到期日：112.09.12
民營停車場,107108,台灣聯通台南安平停車場,臺南市安平區臺南市安平區健康路三段(漁光段48-13、95-2地號),02-25235000,-1,0,164,4,4,4,0,0,24小時,臨停:每小時60元。 其他月租或優惠依現場公告為主。,22.984427，120.163343,到期日：112.11.04
民營停車場,107109,廷勝停車場,臺南市北區臺南市北區開元路485巷內(開元段588-35、588-78地號),0932873368,-1,0,7,1,0,0,0,0,24小時,臨停:每小時30元。 其他月租或優惠依現場公告為主。,23.010761，120.224502,到期日：112.05.31
民營停車場,107110,泰豐停車場,臺南市仁德區中洲里307-2號,06-266-1144,-1,0,0,0,0,0,152,3,上午5時30分晚上12時,臨停費率:機車計日每日20元，月租每月400元，自行車:計日每日10元，月租每月100元,22.904892，120.252826,到期日:112.11.07
民營停車場,107113,歐特儀股份有限公司CARIN和緯站停車場,臺南市北區臺南市北區和緯路2段30號旁空地(正興段761、761-2、761-3、762、763、766、766-1、766-2、738地號),02-27057716,-1,0,47,1,1,1,0,0,24小時,臨停:週一至週五半小時15元，週六至週日半小時20元。 其他月租或優惠依現場公告為主。,23.011260，120.209752,到期日：110.08.31
民營停車場,107114,安怡停車場,臺南市安南區臺南市安南區安中路1段560巷25號旁(怡中段1010、1011、1011-1地號),0928679921,-1,0,11,1,0,0,0,0,上午8時至晚上10時,其他月租或優惠依現場公告為主。,23.041486，120.200338,到期日：112.12.21
民營停車場,107115,新東安臨時停車場,臺南市東區臺南市東區東安路32號(光明段575、576、577地號),0985656060,-1,0,96,1,1,1,0,0,24小時,平日每小時40元，假日50元；停車時數逾1小時以上，其超過不滿1小時部份，如不逾30分鐘者，以半小時計算，如逾30分鐘者，仍以1小時計算。當日最高300元。,22.991875，120.226227,到期日:112.12.04
民營停車場,107116,Times台南永康永二街（月租）停車場,臺南市永康區臺南市永康區永二街258號旁(二王段1226、1228地號),0800-888-924,-1,0,23,1,1,1,0,0,24小時,其他月租或優惠依現場公告為主。,23.018016，120.250224,到期日：112.10.17
民營停車場,107117,五都停車場車寶貝站,臺南市歸仁區臺南市歸仁區歸仁八路與高鐵二路交叉路口(武東段261-1地號),0929-910000,-1,0,135,3,3,1,0,0,24小時,臨停:汽車每小時30元。 其他月租或優惠依現場公告為主。 ,22.927101，120.281072,到期日：112.10.14
民營停車場,107119,Times台南U.I.JHotelHostel停車場,臺南市中西區臺南市中西區友愛街115巷5號,0800-888-924,-1,0,29,1,1,1,0,0,24小時,臨停:每半小時50元。 其他月租或優惠依現場公告為主。,22.990889，120.199656,到期日：111.05.31 
民營停車場,108003,文慧停車場,臺南市關廟區花園一街80號旁(北花段994地號),07-722-0017,-1,0,3,1,0,0,0,0,24小時,年租每年3，000元,22.961623，120.336446,到期日:112.12.24
民營停車場,108004,新光三越百貨股份有限公司台南中山分公司停車場,臺南市中西區中山路162號,06-226-6899,-1,0,268,7,5,1,0,0,上午11時至晚上10時,臨停費率:每小時50元，第1小時前30分鐘不收費，逾1小時以上每半小時25元計算，凡當日購物消費滿500元優惠免費停車半小時，消費累計最高以4小時為限。,22.994518，120.209903,到期日:112.12.31
民營停車場,108006,華成停車場,臺南市安平區臺南市安平區育平9街22巷(金華段54-20、54-21地號),06-2222449,-1,0,3,1,0,0,0,0,24小時,其他月租或優惠依現場公告為主。,22.995908，120.175054,到期日：113.01.13
民營停車場,108007,高雄榮總臺南分院停車場,臺南市永康區臺南市永康區復興路427號旁(永中段479、480、487、488、497地號),06-3125101,-1,0,88,4,2,2,90,5,24小時,臨停:汽車每小時20元，3小時以上每半小時15元；身障優惠前4小時免費，之後依收費標準半價計收;機車：每次10元；另每12小時10元，循環累計。 其他月租或優惠依現場公告為主。 ,22.997604，120.240179,到期日：113.01.15
民營停車場,108009,臺南文南路停車場,臺南市南區臺南市南區文南路128號旁(正義段674、674-1、674-2、674-3、674-4、674-5地號),06-2214597,-1,0,8,1,1,1,0,0,24小時,臨停:每半小時25元。 其他月租或優惠依現場公告為主。,22.985316，120.190104,到期日：113.01.21
